COUNTRY,2000,2010,2020,2030,2040,2050
Afghanistan,20093756,28803167,3.81E+07,4.67E+07,5.49E+07,6.19E+07
Albania,3089027,2913021,2.88E+06,2.86E+06,2.73E+06,2.54E+06
Algeria,31183660,36117637,4.33E+07,4.88E+07,5.32E+07,5.74E+07
American Samoa,57521,55637,5.60E+04,5.70E+04,5.80E+04,5.70E+04
Andorra,65390,84449,7.70E+04,7.80E+04,7.90E+04,7.70E+04
Angola,16440924,23369131,3.28E+07,4.47E+07,5.92E+07,7.60E+07
Antigua and Barbuda,83584,94661,1.05E+05,1.15E+05,1.22E+05,1.25E+05
Argentina,37057452,41223889,4.55E+07,4.93E+07,5.26E+07,5.52E+07
Armenia,3069588,2877311,2.94E+06,2.91E+06,2.82E+06,2.70E+06
Aruba,90853,101669,1.06E+05,1.09E+05,1.09E+05,1.07E+05
Australia,1.92E+07,22031750,2.55E+07,2.84E+07,3.08E+07,3.32E+07
Austria,8011566,8363404,8.88E+06,9.05E+06,9.08E+06,8.97E+06
Azerbaijan,8048600,9054332,1.01E+07,1.07E+07,1.10E+07,1.10E+07
"Bahamas, The",297890,360832,4.07E+05,4.40E+05,4.61E+05,4.75E+05
Bahrain,664614,1240862,1.70E+06,2.01E+06,2.21E+06,2.33E+06
Bangladesh,131581243,152149102,1.70E+08,1.86E+08,1.96E+08,2.02E+08
Barbados,269847,279569,2.88E+05,2.90E+05,2.87E+05,2.80E+05
Belarus,9979610,9490583,9.42E+06,9.04E+06,8.55E+06,8.18E+06
Belgium,10251250,10895586,1.15E+07,1.19E+07,1.22E+07,1.24E+07
Belize,247315,321608,3.98E+05,4.73E+05,5.38E+05,5.92E+05
Benin,6865951,9199259,1.21E+07,1.56E+07,1.96E+07,2.39E+07
Bermuda,61833,65124,NA,NA,NA,NA
Bhutan,573416,727641,8.35E+05,9.14E+05,9.65E+05,9.94E+05
Bolivia,8339512,9918242,1.15E+07,1.32E+07,1.46E+07,1.59E+07
Bosnia and Herzegovina,3766706,3722084,3.50E+06,3.41E+06,3.25E+06,3.06E+06
Botswana,1728340,2014866,2.42E+06,2.80E+06,3.14E+06,3.42E+06
Brazil,175287587,196796269,2.14E+08,2.25E+08,2.32E+08,2.33E+08
British Virgin Islands,20645,27224,3.30E+04,3.50E+04,3.70E+04,3.80E+04
Brunei Darussalam,333241,388662,4.45E+05,4.90E+05,5.20E+05,5.37E+05
Bulgaria,8170172,7395599,6.92E+06,6.33E+06,5.71E+06,5.18E+06
Burkina Faso,11607942,15605217,2.09E+07,2.74E+07,3.50E+07,4.32E+07
Burundi,6400706,8766930,1.19E+07,1.58E+07,2.04E+07,2.58E+07
Cabo Verde,435079,502384,5.67E+05,6.35E+05,6.92E+05,7.34E+05
Cambodia,12152354,14308740,1.67E+07,1.88E+07,2.06E+07,2.20E+07
Cameroon,15274234,19970495,2.60E+07,3.30E+07,4.10E+07,4.98E+07
Canada,30769700,34005274,3.77E+07,4.04E+07,4.22E+07,4.38E+07
Cayman Islands,41687,55507,6.40E+04,7.10E+04,7.70E+04,8.10E+04
Central African Republic,3754986,4448525,4.92E+06,6.12E+06,7.48E+06,8.85E+06
Chad,8342559,11887202,1.63E+07,2.15E+07,2.73E+07,3.36E+07
Channel Islands,148725,159581,1.68E+05,1.74E+05,1.79E+05,1.81E+05
Chile,15262754,16993354,1.85E+07,1.96E+07,2.04E+07,2.07E+07
China,1.26E+09,1.34E+09,1.40E+09,1.41E+09,1.39E+09,1.34E+09
Colombia,40403958,45918097,5.02E+07,5.31E+07,5.46E+07,5.47E+07
Comoros,542357,689692,8.70E+05,1.06E+06,1.26E+06,1.46E+06
"Congo, Dem. Rep.",47076387,64523263,8.95E+07,1.20E+08,1.57E+08,1.97E+08
"Congo, Rep.",3225727,4386693,5.69E+06,7.32E+06,9.31E+06,1.15E+07
Costa Rica,3925443,4545280,5.04E+06,5.42E+06,5.66E+06,5.77E+06
Cote d'Ivoire,16686561,20401331,2.62E+07,3.33E+07,4.18E+07,5.14E+07
Croatia,4.43E+06,4417781,4.08E+06,3.91E+06,3.70E+06,3.49E+06
Cuba,11150736,11333051,1.15E+07,1.15E+07,1.13E+07,1.08E+07
Curacao,133860,148703,1.64E+05,1.74E+05,1.80E+05,1.84E+05
Cyprus,943286,1112607,1.21E+06,1.28E+06,1.34E+06,1.38E+06
Czech Republic,10255063,10474410,1.06E+07,1.05E+07,1.02E+07,1.00E+07
Denmark,5339616,5547683,5.83E+06,6.04E+06,6.20E+06,6.31E+06
Djibouti,717584,851146,1.00E+06,1.13E+06,1.24E+06,1.31E+06
Dominica,69676,71440,7.50E+04,7.80E+04,7.80E+04,7.70E+04
Dominican Republic,8562622,9897985,1.11E+07,1.21E+07,1.28E+07,1.33E+07
Ecuador,12628596,14934690,1.73E+07,1.96E+07,2.15E+07,2.30E+07
"Egypt, Arab Rep.",69905988,84107606,1.03E+08,1.20E+08,1.37E+08,1.53E+08
El Salvador,5867626,6164626,6.48E+06,6.79E+06,6.96E+06,7.00E+06
Equatorial Guinea,614323,951104,1.41E+06,1.87E+06,2.35E+06,2.85E+06
Eritrea,3392801,4390840,NA,NA,NA,NA
Estonia,1396985,1331475,1.30E+06,1.25E+06,1.19E+06,1.14E+06
Eswatini,1061468,1202843,1.44E+06,1.67E+06,1.88E+06,2.08E+06
Ethiopia,66537331,87702670,1.13E+08,1.40E+08,1.66E+08,1.91E+08
Faroe Islands,47258,48550,5.00E+04,5.20E+04,5.40E+04,5.50E+04
Fiji,811223,859950,9.25E+05,9.70E+05,9.95E+05,9.98E+05
Finland,5176209,5363352,5.56E+06,5.67E+06,5.69E+06,5.71E+06
France,60912500,65027507,6.78E+07,7.00E+07,7.16E+07,7.27E+07
French Polynesia,237258,267820,2.91E+05,3.07E+05,3.20E+05,3.26E+05
Gabon,1231122,1640210,2.15E+06,2.59E+06,3.05E+06,3.52E+06
"Gambia, The",1231844,1692149,2.29E+06,3.00E+06,3.78E+06,4.56E+06
Georgia,4418300,3.93E+06,3.70E+06,3.57E+06,3.39E+06,3.20E+06
Germany,82211508,81776930,8.24E+07,8.14E+07,7.95E+07,7.64E+07
Ghana,18938762,24512104,3.07E+07,3.73E+07,4.42E+07,5.13E+07
Gibraltar,31180,33189,3.50E+04,3.60E+04,3.70E+04,3.70E+04
Greece,10805808,11121341,1.07E+07,1.04E+07,1.01E+07,9.59E+06
Greenland,56200,56905,NA,NA,NA,NA
Grenada,101619,104677,1.09E+05,1.12E+05,1.12E+05,1.10E+05
Guam,155329,159444,1.69E+05,1.81E+05,1.89E+05,1.93E+05
Guatemala,11650743,14630417,1.79E+07,2.12E+07,2.43E+07,2.70E+07
Guinea,8808546,10794170,1.38E+07,1.76E+07,2.21E+07,2.69E+07
Guinea-Bissau,1243229,1555880,2.00E+06,2.49E+06,3.03E+06,3.60E+06
Guyana,753301,746556,7.91E+05,8.25E+05,8.35E+05,8.22E+05
Haiti,8549200,9999617,1.14E+07,1.25E+07,1.35E+07,1.40E+07
Honduras,6524283,8194778,9.72E+06,1.11E+07,1.23E+07,1.32E+07
"Hong Kong SAR, China",6.67E+06,7024200,7.57E+06,8.01E+06,8.12E+06,8.07E+06
Hungary,10210971,10000023,9.67E+06,9.27E+06,8.75E+06,8.28E+06
Iceland,281205,318041,3.49E+05,3.71E+05,3.85E+05,3.93E+05
India,1053050912,1230980691,1.38E+09,1.51E+09,1.61E+09,1.66E+09
Indonesia,211540429,242524123,2.72E+08,2.96E+08,3.12E+08,3.22E+08
"Iran, Islamic Rep.",66131854,74567511,8.36E+07,8.89E+07,9.19E+07,9.36E+07
Iraq,23565413,30762701,4.15E+07,5.33E+07,6.68E+07,8.15E+07
Ireland,3805174,4560155,4.94E+06,5.27E+06,5.58E+06,5.85E+06
Isle of Man,72554,80072,8.60E+04,9.10E+04,9.50E+04,9.70E+04
Israel,6.29E+06,7623600,9.12E+06,1.04E+07,1.17E+07,1.31E+07
Italy,56942108,59277417,6.04E+07,5.96E+07,5.85E+07,5.66E+07
Jamaica,2656864,2817210,2.91E+06,2.93E+06,2.86E+06,2.70E+06
Japan,1.27E+08,1.28E+08,1.26E+08,1.20E+08,1.14E+08,1.08E+08
Jordan,5103130,7182390,1.02E+07,1.11E+07,1.27E+07,1.42E+07
Kazakhstan,14883626,16321872,1.86E+07,2.00E+07,2.11E+07,2.23E+07
Kenya,31450483,41350152,5.35E+07,6.70E+07,8.13E+07,9.55E+07
Kiribati,84406,102652,1.22E+05,1.42E+05,1.59E+05,1.78E+05
"Korea, Dem. Peopleâ€™s Rep.",22929075,24591599,2.58E+07,2.67E+07,2.70E+07,2.68E+07
"Korea, Rep.",47008111,49554112,5.20E+07,5.32E+07,5.28E+07,5.05E+07
Kosovo,1.70E+06,1775680,1.87E+06,2.00E+06,2.10E+06,2.15E+06
Kuwait,2050741,2998083,4.30E+06,4.87E+06,5.32E+06,5.64E+06
Kyrgyz Republic,4898400,5447900,6.46E+06,7.18E+06,7.79E+06,8.34E+06
Lao PDR,5329304,6246274,7.17E+06,8.05E+06,8.73E+06,9.16E+06
Latvia,2367550,2097555,1.91E+06,1.80E+06,1.69E+06,1.59E+06
Lebanon,3235366,4337141,6.02E+06,5.37E+06,5.39E+06,5.41E+06
Lesotho,1868699,2040551,2.32E+06,2.61E+06,2.90E+06,3.20E+06
Liberia,2884522,3948125,5.10E+06,6.50E+06,8.09E+06,9.80E+06
Libya,5355751,6169140,6.66E+06,7.34E+06,7.83E+06,8.12E+06
Liechtenstein,33286,36003,3.90E+04,4.10E+04,4.20E+04,4.30E+04
Lithuania,3499536,3097282,2.78E+06,2.65E+06,2.51E+06,2.38E+06
Luxembourg,436300,506953,6.22E+05,6.94E+05,7.56E+05,8.10E+05
"Macao SAR, China",427979,536969,6.52E+05,7.46E+05,8.17E+05,8.76E+05
"Macedonia, FYR",2034819,2070739,2.09E+06,2.08E+06,2.02E+06,1.93E+06
Madagascar,15766806,21151640,2.77E+07,3.56E+07,4.44E+07,5.38E+07
Malawi,11376172,15167095,2.03E+07,2.66E+07,3.38E+07,4.17E+07
Malaysia,23185608,28112289,3.29E+07,3.68E+07,3.97E+07,4.17E+07
Maldives,280384,364511,4.59E+05,5.12E+05,5.47E+05,5.76E+05
Mali,10967690,15075085,2.03E+07,2.71E+07,3.52E+07,4.40E+07
Malta,390087,414508,4.70E+05,4.75E+05,4.64E+05,4.52E+05
Marshall Islands,52159,52425,5.30E+04,5.60E+04,6.20E+04,6.60E+04
Mauritania,2709359,3609543,4.78E+06,6.08E+06,7.48E+06,8.97E+06
Mauritius,1186873,1250400,1.27E+06,1.29E+06,1.27E+06,1.22E+06
Mexico,101719673,117318941,1.34E+08,1.48E+08,1.58E+08,1.64E+08
"Micronesia, Fed. Sts.",107432,103616,1.08E+05,1.17E+05,1.24E+05,1.28E+05
Moldova,3639592,3562045,3.52E+06,3.36E+06,3.11E+06,2.83E+06
Monaco,32082,37094,3.90E+04,4.10E+04,4.30E+04,4.60E+04
Mongolia,2397436,2712650,3.21E+06,3.56E+06,3.83E+06,4.08E+06
Montenegro,604950,619428,6.21E+05,6.13E+05,5.93E+05,5.67E+05
Morocco,28849621,32409639,3.71E+07,4.09E+07,4.37E+07,4.57E+07
Mozambique,18067687,24221405,3.23E+07,4.24E+07,5.44E+07,6.78E+07
Myanmar,46095462,50155896,5.48E+07,5.89E+07,6.15E+07,6.24E+07
Namibia,1899257,2173170,2.70E+06,3.25E+06,3.80E+06,4.34E+06
Nauru,10037,10025,1.30E+04,1.30E+04,1.30E+04,1.30E+04
Nepal,23740911,27023137,3.03E+07,3.32E+07,3.51E+07,3.61E+07
Netherlands,15925513,16615394,1.73E+07,1.77E+07,1.79E+07,1.78E+07
New Caledonia,213230,249750,2.90E+05,3.23E+05,3.52E+05,3.76E+05
New Zealand,3857700,4350700,4.92E+06,5.30E+06,5.58E+06,5.78E+06
Nicaragua,5026796,5737723,6.42E+06,7.05E+06,7.55E+06,7.88E+06
Niger,11352973,16425578,2.41E+07,3.50E+07,4.98E+07,6.85E+07
Nigeria,122352009,158578261,2.06E+08,2.64E+08,3.33E+08,4.11E+08
Northern Mariana Islands,69094,54424,5.50E+04,5.70E+04,5.60E+04,5.20E+04
Norway,4490967,4889252,5.44E+06,5.86E+06,6.21E+06,6.52E+06
Oman,2267991,3041460,5.15E+06,5.90E+06,6.34E+06,6.76E+06
Pakistan,138523285,170560182,2.08E+08,2.44E+08,2.77E+08,3.07E+08
Palau,19175,20470,2.20E+04,2.50E+04,2.60E+04,2.80E+04
Panama,3030347,3643222,4.29E+06,4.88E+06,5.40E+06,5.83E+06
Papua New Guinea,5572222,7108239,8.76E+06,1.05E+07,1.22E+07,1.39E+07
Paraguay,5302700,6209877,7.07E+06,7.85E+06,8.46E+06,8.90E+06
Peru,25914879,29373646,3.33E+07,3.68E+07,3.96E+07,4.16E+07
Philippines,77991569,93726624,1.10E+08,1.25E+08,1.39E+08,1.51E+08
Poland,38258629,38042794,3.78E+07,3.67E+07,3.46E+07,3.26E+07
Portugal,10289898,10573100,1.02E+07,9.88E+06,9.60E+06,9.22E+06
Puerto Rico,3810605,3721525,3.33E+06,3.29E+06,3.19E+06,3.02E+06
Qatar,592267,1779676,2.79E+06,3.23E+06,3.54E+06,3.77E+06
Romania,22442971,20246871,1.92E+07,1.82E+07,1.71E+07,1.59E+07
Russian Federation,146596557,142849449,1.44E+08,1.40E+08,1.33E+08,1.29E+08
Rwanda,8025703,10246842,1.31E+07,1.60E+07,1.91E+07,2.19E+07
Samoa,174610,186205,2.00E+05,2.12E+05,2.30E+05,2.43E+05
San Marino,27418,31110,3.40E+04,3.50E+04,3.50E+04,3.50E+04
Sao Tome and Principe,138606,174776,2.18E+05,2.68E+05,3.24E+05,3.80E+05
Saudi Arabia,20764312,27425676,3.47E+07,3.95E+07,4.28E+07,4.51E+07
Senegal,9884052,12916229,1.72E+07,2.21E+07,2.78E+07,3.40E+07
Serbia,7516346,7291436,6.94E+06,6.64E+06,6.24E+06,5.85E+06
Seychelles,81131,89770,9.70E+04,9.70E+04,9.60E+04,9.20E+04
Sierra Leone,4564297,6458720,8.05E+06,9.72E+06,1.14E+07,1.30E+07
Singapore,4027887,5076732,5.80E+06,6.19E+06,6.38E+06,6.38E+06
Sint Maarten (Dutch part),30519,34056,NA,NA,NA,NA
Slovak Republic,5388720,5391428,5.44E+06,5.36E+06,5.13E+06,4.90E+06
Slovenia,1988925,2048583,2.07E+06,2.05E+06,1.99E+06,1.93E+06
Solomon Islands,412609,527790,6.47E+05,7.73E+05,9.05E+05,1.03E+06
Somalia,9011479,12053223,1.61E+07,2.15E+07,2.81E+07,3.59E+07
South Africa,45728315,51584663,5.87E+07,6.45E+07,6.91E+07,7.28E+07
South Sudan,6700656,10067192,1.36E+07,1.73E+07,2.12E+07,2.54E+07
Spain,40567864,46576897,4.66E+07,4.63E+07,4.59E+07,4.49E+07
Sri Lanka,18781938,20198353,2.17E+07,2.21E+07,2.20E+07,2.13E+07
St. Kitts and Nevis,45374,51445,5.70E+04,6.10E+04,6.30E+04,6.30E+04
St. Lucia,156949,172580,1.81E+05,1.86E+05,1.87E+05,1.82E+05
St. Martin (French part),28384,30235,NA,NA,NA,NA
St. Vincent and the Grenadines,107898,109315,1.11E+05,1.12E+05,1.12E+05,1.09E+05
Sudan,27250535,34385963,4.35E+07,5.48E+07,6.74E+07,8.04E+07
Suriname,472390,526103,5.78E+05,6.17E+05,6.40E+05,6.48E+05
Sweden,8872109,9378126,1.03E+07,1.09E+07,1.14E+07,1.20E+07
Switzerland,7184250,7824909,8.66E+06,9.21E+06,9.62E+06,9.92E+06
Syrian Arab Republic,16410848,21018834,1.89E+07,2.66E+07,3.08E+07,3.40E+07
Tajikistan,6216205,7641630,9.48E+06,1.12E+07,1.29E+07,1.45E+07
Tanzania,34178042,46098591,6.28E+07,8.37E+07,1.09E+08,1.38E+08
Thailand,62958021,67208808,6.94E+07,6.96E+07,6.83E+07,6.54E+07
Timor-Leste,871607,1109591,1.38E+06,1.70E+06,2.06E+06,2.42E+06
Togo,4970367,6502952,8.38E+06,1.05E+07,1.29E+07,1.53E+07
Tonga,98082,104137,1.11E+05,1.21E+05,1.32E+05,1.40E+05
Trinidad and Tobago,1267984,1328100,1.38E+06,1.37E+06,1.34E+06,1.30E+06
Tunisia,9699197,10639931,1.19E+07,1.28E+07,1.34E+07,1.39E+07
Turkey,63240121,72326914,8.38E+07,8.84E+07,9.30E+07,9.56E+07
Turkmenistan,4516131,5087210,6.03E+06,6.77E+06,7.37E+06,7.89E+06
Turks and Caicos Islands,18873,30994,3.70E+04,4.20E+04,4.50E+04,4.80E+04
Tuvalu,9420,10531,1.10E+04,1.30E+04,1.40E+04,1.50E+04
Uganda,24039274,33915133,4.72E+07,6.38E+07,8.36E+07,1.06E+08
Ukraine,49175848,45870700,4.41E+07,4.13E+07,3.82E+07,3.55E+07
United Arab Emirates,3154925,8270684,9.81E+06,1.11E+07,1.22E+07,1.32E+07
United Kingdom,58892514,62766365,6.71E+07,7.02E+07,7.26E+07,7.47E+07
United States,282162411,309338421,3.33E+08,3.56E+08,3.73E+08,3.89E+08
Uruguay,3321245,3374415,3.49E+06,3.59E+06,3.65E+06,3.66E+06
Uzbekistan,24650400,28562400,3.36E+07,3.64E+07,3.82E+07,3.92E+07
Vanuatu,185063,236295,2.94E+05,3.54E+05,4.15E+05,4.75E+05
"Venezuela, RB",24488340,29028033,3.32E+07,3.68E+07,3.96E+07,4.16E+07
Vietnam,80285562,88472512,9.84E+07,1.06E+08,1.11E+08,1.15E+08
Virgin Islands (U.S.),108642,108358,1.08E+05,1.06E+05,1.03E+05,9.70E+04
West Bank and Gaza,2922153,3811102,5.07E+06,6.41E+06,7.80E+06,9.22E+06
"Yemen, Rep.",17874725,23606779,3.02E+07,3.68E+07,4.30E+07,4.83E+07
Zambia,10531221,13850033,1.87E+07,2.49E+07,3.23E+07,4.10E+07
Zimbabwe,12222251,14086317,1.77E+07,2.15E+07,2.56E+07,2.97E+07
